scheme,scheme_id,run,crypto_operation_cost_ms,security_wrapper_cost_ms
no_signature,no_signature,1,0.0,0.0
no_signature,no_signature,2,0.0,0.0
no_signature,no_signature,3,0.0,0.0
no_signature,no_signature,4,0.0,0.0
no_signature,no_signature,5,0.0,0.0
no_signature,no_signature,6,0.0,0.0
no_signature,no_signature,7,0.0,0.0
no_signature,no_signature,8,0.0,0.0
no_signature,no_signature,9,0.0,0.0
no_signature,no_signature,10,0.0,0.0
RSA-2048,RSA-2048,1,72.83683547323245,76.0446629999203
RSA-2048,RSA-2048,2,71.94393442672042,75.11479953226298
RSA-2048,RSA-2048,3,71.37091988930464,74.49581256291494
RSA-2048,RSA-2048,4,70.92651157795127,74.11395510270546
RSA-2048,RSA-2048,5,73.67169985237207,76.75316430279031
RSA-2048,RSA-2048,6,81.62804463102158,84.78011007265475
RSA-2048,RSA-2048,7,74.18470270698876,77.25471014156912
RSA-2048,RSA-2048,8,77.20801585353897,80.44544656062475
RSA-2048,RSA-2048,9,75.49922794103608,78.65785898795947
RSA-2048,RSA-2048,10,75.13725127791972,78.36527747645329
ECDSA-256,ECDSA-256,1,12.662536894592003,15.974269634267694
ECDSA-256,ECDSA-256,2,12.471667447825741,15.757089618515584
ECDSA-256,ECDSA-256,3,12.663273294456156,15.932799627771352
ECDSA-256,ECDSA-256,4,12.924859710813664,16.157250212272388
ECDSA-256,ECDSA-256,5,12.736109074903501,16.04880388670886
ECDSA-256,ECDSA-256,6,12.775110540290525,16.133711006647346
ECDSA-256,ECDSA-256,7,12.995572780879685,16.27047486758455
ECDSA-256,ECDSA-256,8,12.835604987727953,16.146218470918384
ECDSA-256,ECDSA-256,9,13.026850694635112,16.292300459462897
ECDSA-256,ECDSA-256,10,12.504167576941203,15.751313509729755
ML-DSA-44,ML-DSA-44,1,14.316224602904638,17.533814113509266
ML-DSA-44,ML-DSA-44,2,14.131631322670584,17.28692961274622
ML-DSA-44,ML-DSA-44,3,14.392139590733231,17.585196428311118
ML-DSA-44,ML-DSA-44,4,14.805871217201009,17.99315497356753
ML-DSA-44,ML-DSA-44,5,14.051157525585195,17.240284737975394
ML-DSA-44,ML-DSA-44,6,14.310615431361994,17.492880965582778
ML-DSA-44,ML-DSA-44,7,14.36332646757349,17.62548166792815
ML-DSA-44,ML-DSA-44,8,14.314211218152051,17.526912489750483
ML-DSA-44,ML-DSA-44,9,14.41267847393935,17.833032819907867
ML-DSA-44,ML-DSA-44,10,14.141971136753606,17.309433443781987
ML-DSA-65,ML-DSA-65,1,14.324304000086308,17.532865663524465
ML-DSA-65,ML-DSA-65,2,14.250528239256868,17.51925327116599
ML-DSA-65,ML-DSA-65,3,14.348950097337218,17.613822844577715
ML-DSA-65,ML-DSA-65,4,14.349444850425401,17.61828283856909
ML-DSA-65,ML-DSA-65,5,14.381268745055271,17.587976828605314
ML-DSA-65,ML-DSA-65,6,14.301028598565459,17.490608807032057
ML-DSA-65,ML-DSA-65,7,14.31704377910728,17.580432576747985
ML-DSA-65,ML-DSA-65,8,14.287245865755875,17.458927187447497
ML-DSA-65,ML-DSA-65,9,14.375226749107094,17.652267375184596
ML-DSA-65,ML-DSA-65,10,14.281415233077956,17.505533167471242
ML-DSA-87,ML-DSA-87,1,14.503730197514574,17.680017943105735
ML-DSA-87,ML-DSA-87,2,14.402485597723329,17.64858358966473
ML-DSA-87,ML-DSA-87,3,14.437025607718628,17.669768300062426
ML-DSA-87,ML-DSA-87,4,14.537549050679894,17.74775801459303
ML-DSA-87,ML-DSA-87,5,14.523607717904424,17.753190003180016
ML-DSA-87,ML-DSA-87,6,14.523103681082373,17.691707763975856
ML-DSA-87,ML-DSA-87,7,14.554252940385147,17.763302316112817
ML-DSA-87,ML-DSA-87,8,14.400075417943148,17.53467184336209
ML-DSA-87,ML-DSA-87,9,14.337594265428534,17.540544356063997
ML-DSA-87,ML-DSA-87,10,14.397602266010994,17.657649654429157
Falcon-padded-512,Falcon-padded-512,1,23.206453110324063,26.398244686812532
Falcon-padded-512,Falcon-padded-512,2,22.639218624681092,25.840429013284293
Falcon-padded-512,Falcon-padded-512,3,23.128271825456224,26.444950927203895
Falcon-padded-512,Falcon-padded-512,4,23.292271412598442,26.552915996095532
Falcon-padded-512,Falcon-padded-512,5,22.95888750581056,26.174367767525588
Falcon-padded-512,Falcon-padded-512,6,22.80584358998249,26.079546561619644
