scheme,scheme_id,run,final_accuracy,final_loss
no_signature,no_signature,1,0.7373,1.2639852703094483
no_signature,no_signature,2,0.7108,1.306792858505249
no_signature,no_signature,3,0.7272,1.3050805550575255
no_signature,no_signature,4,0.7195,1.2475066291809085
no_signature,no_signature,5,0.7197,1.280946361732483
no_signature,no_signature,6,0.7199,1.2382075017929075
no_signature,no_signature,7,0.7169,1.2516926578521728
no_signature,no_signature,8,0.7244,1.300002317047119
no_signature,no_signature,9,0.7253,1.1864123544692993
no_signature,no_signature,10,0.724,1.2505664783477783
RSA-2048,RSA-2048,1,0.728,1.3398191661834715
RSA-2048,RSA-2048,2,0.723,1.2485487953186034
RSA-2048,RSA-2048,3,0.7296,1.267954088115692
RSA-2048,RSA-2048,4,0.721,1.277981834793091
RSA-2048,RSA-2048,5,0.7183,1.2902988109588622
RSA-2048,RSA-2048,6,0.7209,1.2475984124183654
RSA-2048,RSA-2048,7,0.7141,1.3284886089324952
RSA-2048,RSA-2048,8,0.7275,1.205629055595398
RSA-2048,RSA-2048,9,0.723,1.2754143436431884
RSA-2048,RSA-2048,10,0.7288,1.292708080673218
ECDSA-256,ECDSA-256,1,0.7301,1.329119547843933
ECDSA-256,ECDSA-256,2,0.7168,1.3147080980300905
ECDSA-256,ECDSA-256,3,0.7238,1.2777707352638246
ECDSA-256,ECDSA-256,4,0.7196,1.2583494606018066
ECDSA-256,ECDSA-256,5,0.7235,1.26760030708313
ECDSA-256,ECDSA-256,6,0.7153,1.2765687301635742
ECDSA-256,ECDSA-256,7,0.7127,1.257800591087341
ECDSA-256,ECDSA-256,8,0.7237,1.1966055438041687
ECDSA-256,ECDSA-256,9,0.7199,1.2383816499710083
ECDSA-256,ECDSA-256,10,0.7253,1.2733515398025512
ML-DSA-44,ML-DSA-44,1,0.7365,1.258508882713318
ML-DSA-44,ML-DSA-44,2,0.7156,1.307942259788513
ML-DSA-44,ML-DSA-44,3,0.7189,1.26253985414505
ML-DSA-44,ML-DSA-44,4,0.7177,1.2690306064605712
ML-DSA-44,ML-DSA-44,5,0.7179,1.3265405263900756
ML-DSA-44,ML-DSA-44,6,0.7208,1.2422017795562743
ML-DSA-44,ML-DSA-44,7,0.7182,1.2386267272949218
ML-DSA-44,ML-DSA-44,8,0.7221,1.223444814682007
ML-DSA-44,ML-DSA-44,9,0.7167,1.2779723105430605
ML-DSA-44,ML-DSA-44,10,0.7289,1.226953593826294
ML-DSA-65,ML-DSA-65,1,0.7288,1.2544756576538083
ML-DSA-65,ML-DSA-65,2,0.7181,1.313707331085205
ML-DSA-65,ML-DSA-65,3,0.7242,1.2220072242736817
ML-DSA-65,ML-DSA-65,4,0.7222,1.2585334156036376
ML-DSA-65,ML-DSA-65,5,0.7205,1.285471500301361
ML-DSA-65,ML-DSA-65,6,0.7168,1.2966695749282835
ML-DSA-65,ML-DSA-65,7,0.7144,1.2351814847946168
ML-DSA-65,ML-DSA-65,8,0.718,1.3033170194625854
ML-DSA-65,ML-DSA-65,9,0.7277,1.25917004070282
ML-DSA-65,ML-DSA-65,10,0.7244,1.2653076740264892
ML-DSA-87,ML-DSA-87,1,0.7303,1.3171736748695373
ML-DSA-87,ML-DSA-87,2,0.7287,1.2728337732315065
ML-DSA-87,ML-DSA-87,3,0.7257,1.2616598888397217
ML-DSA-87,ML-DSA-87,4,0.714,1.2185671005249024
ML-DSA-87,ML-DSA-87,5,0.7116,1.3334990573883057
ML-DSA-87,ML-DSA-87,6,0.7213,1.2481350109100342
ML-DSA-87,ML-DSA-87,7,0.7224,1.2496789726257325
ML-DSA-87,ML-DSA-87,8,0.7179,1.285694907474518
ML-DSA-87,ML-DSA-87,9,0.7177,1.290839814758301
ML-DSA-87,ML-DSA-87,10,0.7261,1.32063054561615
Falcon-padded-512,Falcon-padded-512,1,0.7316,1.3066062215805054
Falcon-padded-512,Falcon-padded-512,2,0.7245,1.281189039993286
Falcon-padded-512,Falcon-padded-512,3,0.7201,1.2744099517822265
Falcon-padded-512,Falcon-padded-512,4,0.7231,1.2411349994659424
Falcon-padded-512,Falcon-padded-512,5,0.7243,1.2902798511505127
Falcon-padded-512,Falcon-padded-512,6,0.7171,1.2326252367019652
Falcon-padded-512,Falcon-padded-512,7,0.714,1.273759951400757
Falcon-padded-512,Falcon-padded-512,8,0.7233,1.2145926045417783
Falcon-padded-512,Falcon-padded-512,9,0.7157,1.297573172569275
Falcon-padded-512,Falcon-padded-512,10,0.7256,1.2995299476623534
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,1,0.726,1.2641431604385376
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,2,0.7224,1.251945045852661
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,3,0.721,1.261393857383728
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,4,0.7241,1.204997789001465
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,5,0.7173,1.2570871295928956
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,6,0.7193,1.2367401823043824
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,7,0.7137,1.3214982187271118
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,8,0.7209,1.2580075832366944
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,9,0.7202,1.2672352807998657
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,10,0.7269,1.2407723642349242
