run,round,reference_scheme,scheme,max_abs_diff
1,1,no_signature,ECDSA-256,0.0
1,1,no_signature,Falcon-padded-512,0.0
1,1,no_signature,ML-DSA-44,0.0
1,1,no_signature,ML-DSA-65,0.0
1,1,no_signature,ML-DSA-87,0.0
1,1,no_signature,RSA-2048,0.0
1,1,no_signature,SPHINCS+-SHA2-128s-simple,0.0
1,2,no_signature,ECDSA-256,0.00788796252716839
1,2,no_signature,Falcon-padded-512,0.0
1,2,no_signature,ML-DSA-44,0.008435017003799672
1,2,no_signature,ML-DSA-65,0.006178306314511106
1,2,no_signature,ML-DSA-87,0.00971812257370619
1,2,no_signature,RSA-2048,0.012031607353649276
1,2,no_signature,SPHINCS+-SHA2-128s-simple,0.006178306314511106
1,3,no_signature,ECDSA-256,0.0033066516486219832
1,3,no_signature,Falcon-padded-512,0.012624271761495054
1,3,no_signature,ML-DSA-44,0.007021086284527689
1,3,no_signature,ML-DSA-65,0.005732370832095768
1,3,no_signature,ML-DSA-87,0.0075058215342389545
1,3,no_signature,RSA-2048,0.01072861420841642
1,3,no_signature,SPHINCS+-SHA2-128s-simple,0.005732370832095768
1,4,no_signature,ECDSA-256,0.00943850537839408
1,4,no_signature,Falcon-padded-512,0.020223905674565668
1,4,no_signature,ML-DSA-44,0.007555707575032988
1,4,no_signature,ML-DSA-65,0.015285803106265261
1,4,no_signature,ML-DSA-87,0.016736542074063054
1,4,no_signature,RSA-2048,0.009746785361926635
1,4,no_signature,SPHINCS+-SHA2-128s-simple,0.0102957443307381
1,5,no_signature,ECDSA-256,0.015820241202942453
1,5,no_signature,Falcon-padded-512,0.012585213199591161
1,5,no_signature,ML-DSA-44,0.007320443090920392
1,5,no_signature,ML-DSA-65,0.011322772731415132
1,5,no_signature,ML-DSA-87,0.018748344133456163
1,5,no_signature,RSA-2048,0.012720313887245815
1,5,no_signature,SPHINCS+-SHA2-128s-simple,0.004718929053114662
1,6,no_signature,ECDSA-256,0.019498986748460734
1,6,no_signature,Falcon-padded-512,0.01772530638752645
1,6,no_signature,ML-DSA-44,0.01628813423668607
1,6,no_signature,ML-DSA-65,0.011825420605108272
1,6,no_signature,ML-DSA-87,0.008293601270681794
1,6,no_signature,RSA-2048,0.013921187137262425
1,6,no_signature,SPHINCS+-SHA2-128s-simple,0.015549720285799484
1,7,no_signature,ECDSA-256,0.005096721858643294
