scheme,run,position,train_time_mean,train_time_std,n
ECDSA-256,1,5,19.977764496183955,4.632055527237474,150.0
ECDSA-256,2,14,20.110319151968383,4.653823228866336,150.0
ECDSA-256,3,24,20.179753318408814,4.65221671232794,150.0
ECDSA-256,4,27,20.14114721620766,4.679393702084684,150.0
ECDSA-256,5,40,20.062335247434675,4.652825716312086,150.0
Falcon-padded-512,1,3,19.963418633681723,4.605818722968328,150.0
Falcon-padded-512,2,11,20.050249994482535,4.651962983678362,150.0
Falcon-padded-512,3,23,19.966736986953766,4.589246040172343,150.0
Falcon-padded-512,4,29,20.157500719196783,4.706201363141809,150.0
Falcon-padded-512,5,37,20.07825144319019,4.676363899946107,150.0
ML-DSA-44,1,6,20.096568976609657,4.651433208728844,150.0
ML-DSA-44,2,15,20.093649488852048,4.664423811981839,150.0
ML-DSA-44,3,21,19.946661042824076,4.641892803291996,150.0
ML-DSA-44,4,28,20.004533443759815,4.653217831595279,150.0
ML-DSA-44,5,34,20.197153958515266,4.690276753523889,150.0
ML-DSA-65,1,1,20.43995262049294,4.770138125158498,150.0
ML-DSA-65,2,12,19.98375335806515,4.636369221851222,150.0
ML-DSA-65,3,22,20.003170967980598,4.637638106344231,150.0
ML-DSA-65,4,25,20.068280441265863,4.643477550122547,150.0
ML-DSA-65,5,35,20.23848233092421,4.718007091872548,150.0
ML-DSA-87,1,4,19.971265667040523,4.616536748963872,150.0
ML-DSA-87,2,9,20.210769261627767,4.735956463470087,150.0
ML-DSA-87,3,20,20.01225659379891,4.63105306804244,150.0
ML-DSA-87,4,26,20.353003454478458,4.770544095275248,150.0
ML-DSA-87,5,38,20.18449128334721,4.68771016524306,150.0
RSA-2048,1,7,20.15287571988224,4.672866049364187,150.0
RSA-2048,2,16,20.086176602208678,4.665333246301047,150.0
RSA-2048,3,19,20.335381281749967,4.757189976705992,150.0
RSA-2048,4,32,20.022639020712425,4.652967051228738,150.0
RSA-2048,5,39,20.111798431475957,4.69701280932813,150.0
SPHINCS+-SHA2-128s-simple,1,2,20.15361378682622,4.671698952151456,150.0
SPHINCS+-SHA2-128s-simple,2,13,20.05504488696965,4.6015569040631465,150.0
SPHINCS+-SHA2-128s-simple,3,18,19.946703371421123,4.579528163943124,150.0
SPHINCS+-SHA2-128s-simple,4,30,20.290862383383015,4.7684792692908315,150.0
SPHINCS+-SHA2-128s-simple,5,36,20.03725170206434,4.6447748890937,150.0
no_signature,1,8,20.160873227099266,4.704432191978167,150.0
no_signature,2,10,20.272872382745458,4.758904568960625,150.0
no_signature,3,17,20.217398391710596,4.710529863551546,150.0
no_signature,4,31,20.212366961874068,4.699205999711072,150.0
no_signature,5,33,20.063958118576558,4.679590783895309,150.0
