scheme,threshold_pct,model_size_bytes,model_size_kib,n_params_float32
ML-DSA-44,1.0,373200.0,364.453125,93300.0
ML-DSA-44,5.0,74640.0,72.890625,18660.0
ML-DSA-44,10.0,37320.0,36.4453125,9330.0
ML-DSA-65,1.0,526100.0,513.76953125,131525.0
ML-DSA-65,5.0,105220.0,102.75390625,26305.0
ML-DSA-65,10.0,52610.0,51.376953125,13152.5
ML-DSA-87,1.0,721900.0,704.98046875,180475.0
ML-DSA-87,5.0,144380.0,140.99609375,36095.0
ML-DSA-87,10.0,72190.0,70.498046875,18047.5
Falcon-padded-512,1.0,156300.0,152.63671875,39075.0
Falcon-padded-512,5.0,31260.0,30.52734375,7815.0
Falcon-padded-512,10.0,15630.0,15.263671875,3907.5
SPHINCS+-SHA2-128s-simple,1.0,788800.0,770.3125,197200.0
SPHINCS+-SHA2-128s-simple,5.0,157760.0,154.0625,39440.0
SPHINCS+-SHA2-128s-simple,10.0,78880.0,77.03125,19720.0
RSA-2048,1.0,55000.0,53.7109375,13750.0
RSA-2048,5.0,11000.0,10.7421875,2750.0
RSA-2048,10.0,5500.0,5.37109375,1375.0
ECDSA-256,1.0,16199.066666666668,15.819401041666667,4049.766666666667
ECDSA-256,5.0,3239.813333333333,3.163880208333333,809.9533333333333
ECDSA-256,10.0,1619.9066666666665,1.5819401041666665,404.97666666666663
