scheme,round,crypto_cost_round_mean,crypto_fraction_mean
ECDSA-256,1,0.02265053102746532,0.00022458805995488056
ECDSA-256,2,0.0028140090405934003,2.8071760098769146e-05
ECDSA-256,3,0.0025244948919856,2.521175972359578e-05
ECDSA-256,4,0.00284233777783736,2.8463002141312665e-05
ECDSA-256,5,0.0026618992909781597,2.651120443404249e-05
ECDSA-256,6,0.00259424750693074,2.5842323010268632e-05
ECDSA-256,7,0.00286964792758154,2.834112553837501e-05
ECDSA-256,8,0.00254258797503938,2.5523484507985008e-05
ECDSA-256,9,0.0026229318696998002,2.617816754958987e-05
ECDSA-256,10,0.0026174292434000203,2.5912530906142296e-05
ECDSA-256,11,0.00269693257287074,2.6882079905649732e-05
ECDSA-256,12,0.0027275888249270403,2.7252616005546854e-05
ECDSA-256,13,0.0026670602615915797,2.649666513623022e-05
ECDSA-256,14,0.00272144000045884,2.720810102109061e-05
ECDSA-256,15,0.0027087675407521,2.6962552000369788e-05
ECDSA-256,16,0.00266341241076508,2.6449141197311964e-05
ECDSA-256,17,0.0025736044161014,2.5755636803063955e-05
ECDSA-256,18,0.00259597199037592,2.6007131775756614e-05
ECDSA-256,19,0.00283763026818552,2.80673970558497e-05
ECDSA-256,20,0.0026603650301686597,2.6458129668600418e-05
ECDSA-256,21,0.0026931008324019403,2.67635960875919e-05
ECDSA-256,22,0.00254315133206466,2.5090866687956007e-05
ECDSA-256,23,0.0026442436967037,2.6211618717757e-05
ECDSA-256,24,0.00260723405517558,2.60601938055374e-05
ECDSA-256,25,0.0025182177312664603,2.4763170687845876e-05
ECDSA-256,26,0.00245317923836336,2.447565248727934e-05
ECDSA-256,27,0.0026109394151709203,2.615374792064399e-05
ECDSA-256,28,0.0026212249416851,2.5806464466866765e-05
ECDSA-256,29,0.00256371186114778,2.5510133456165716e-05
ECDSA-256,30,0.00266744536347608,2.6812118133681582e-05
Falcon-padded-512,1,0.05331822228617914,0.0005300006696917793
Falcon-padded-512,2,0.04739259337075002,0.0004703907418097101
Falcon-padded-512,3,0.04475287408567914,0.0004441627264716126
Falcon-padded-512,4,0.05251613049767857,0.0005289859993349713
Falcon-padded-512,5,0.047142266156151406,0.0004721739233915689
Falcon-padded-512,6,0.0490327449981119,0.00048611200393217405
Falcon-padded-512,7,0.04609073940664481,0.0004617300426824792
Falcon-padded-512,8,0.0538495113607491,0.0005408839350112079
Falcon-padded-512,9,0.05060948799364216,0.0005023974674930055
Falcon-padded-512,10,0.045272406283765484,0.0004493148327810708
Falcon-padded-512,11,0.04497023229487191,0.00044844432973808633
Falcon-padded-512,12,0.04746827720664395,0.0004730097927283703
Falcon-padded-512,13,0.04654494277201547,0.0004654516591566167
Falcon-padded-512,14,0.04765985202975519,0.00047479210952349593
Falcon-padded-512,15,0.04614473925903395,0.00046004489890867563
Falcon-padded-512,16,0.045879655750467825,0.0004599566502527169
Falcon-padded-512,17,0.04857060541398771,0.0004805969489541814
Falcon-padded-512,18,0.051116270571946676,0.0005122791859055447
Falcon-padded-512,19,0.049386290041729335,0.0004963480600227918
Falcon-padded-512,20,0.04562178351916324,0.00045361575095668636
Falcon-padded-512,21,0.04691235041245774,0.0004730211652463726
Falcon-padded-512,22,0.04473693026229693,0.00044659711112372163
Falcon-padded-512,23,0.04657509285025252,0.00045988833202817333
Falcon-padded-512,24,0.04953988832421553,0.0004950726801503751
Falcon-padded-512,25,0.048768089385702706,0.00048691851962769496
Falcon-padded-512,26,0.04567328621633298,0.00045435400006319594
Falcon-padded-512,27,0.052513136994093136,0.0005240168540424089
Falcon-padded-512,28,0.04310088125057473,0.00043011967267816487
Falcon-padded-512,29,0.047869479516520604,0.00047392244181359037
Falcon-padded-512,30,0.04818185186013528,0.0004812556878578254
ML-DSA-44,1,0.007528008427470439,7.510838097868684e-05
ML-DSA-44,2,0.0021653517149382933,2.1539355563617847e-05
ML-DSA-44,3,0.0025848700199270803,2.569365698607563e-05
ML-DSA-44,4,0.0026745786890382587,2.6961113731516804e-05
ML-DSA-44,5,0.0025483853649342436,2.5524185089646512e-05
ML-DSA-44,6,0.0024854199495161168,2.475670498792789e-05
ML-DSA-44,7,0.0026092689018691667,2.609314824234243e-05
ML-DSA-44,8,0.00237458590418056,2.373861740847947e-05
ML-DSA-44,9,0.0024167817551638,2.3900116602459592e-05
ML-DSA-44,10,0.002354346727951824,2.3477265499551918e-05
ML-DSA-44,11,0.002474594768136238,2.4786867508696456e-05
ML-DSA-44,12,0.002480477001517466,2.486114942394091e-05
ML-DSA-44,13,0.002407247107475461,2.3733251707097258e-05
ML-DSA-44,14,0.0027073532808567346,2.7207820404597124e-05
ML-DSA-44,15,0.0023663151543582782,2.3537217679654387e-05
ML-DSA-44,16,0.0023146137129511036,2.3175556840888382e-05
ML-DSA-44,17,0.0024806922767306246,2.4784919985147e-05
ML-DSA-44,18,0.0024861523881549415,2.462654397843105e-05
ML-DSA-44,19,0.0024340632837260285,2.4182594948194378e-05
ML-DSA-44,20,0.0022927725221957114,2.29557599667109e-05
ML-DSA-44,21,0.002368082432075847,2.373773402313027e-05
ML-DSA-44,22,0.0023616195190693284,2.344604083458688e-05
ML-DSA-44,23,0.0024956793524319567,2.4797825179635844e-05
ML-DSA-44,24,0.002479002857580297,2.4804015250997068e-05
ML-DSA-44,25,0.002441333513706406,2.4301883176627896e-05
ML-DSA-44,26,0.002429833402856683,2.407891181394018e-05
ML-DSA-44,27,0.0022992820013309307,2.321294551705186e-05
ML-DSA-44,28,0.0026168517302717397,2.5748287819237307e-05
ML-DSA-44,29,0.002401504712178848,2.382067174066137e-05
ML-DSA-44,30,0.002269393671303523,2.2644732880365558e-05
ML-DSA-65,1,0.008127515902742254,8.030462654696e-05
ML-DSA-65,2,0.002797788754105094,2.7873160496347822e-05
ML-DSA-65,3,0.003058536909520113,3.0210585962584224e-05
ML-DSA-65,4,0.0033280612435186187,3.309034502191252e-05
ML-DSA-65,5,0.0031143606640393366,3.10885529344634e-05
ML-DSA-65,6,0.00305184549651986,3.0238453483293435e-05
ML-DSA-65,7,0.003205315116792371,3.158683130524699e-05
ML-DSA-65,8,0.0032067144289607843,3.205104348082537e-05
ML-DSA-65,9,0.003022447135298911,3.0109984965586112e-05
ML-DSA-65,10,0.003229738678782622,3.1926234872036776e-05
ML-DSA-65,11,0.0033007797785098263,3.312326170447357e-05
ML-DSA-65,12,0.0029225467704231205,2.927060560431738e-05
ML-DSA-65,13,0.002969422610476048,2.9356794208453934e-05
ML-DSA-65,14,0.0031116143334651465,3.1034912758733716e-05
ML-DSA-65,15,0.003046347759663604,3.0041025934075653e-05
ML-DSA-65,16,0.003220205428078255,3.190726164692933e-05
ML-DSA-65,17,0.0031344928313041557,3.12004819293063e-05
ML-DSA-65,18,0.003295229934155486,3.268463794000581e-05
ML-DSA-65,19,0.0031560376286501935,3.1228680411158154e-05
ML-DSA-65,20,0.0029853419400747293,2.985929698674016e-05
ML-DSA-65,21,0.003202484687789736,3.170790600452112e-05
ML-DSA-65,22,0.003002267284318265,2.977276256790748e-05
ML-DSA-65,23,0.0031061285175377784,3.08430804818857e-05
ML-DSA-65,24,0.0028054066933686206,2.7900375968520297e-05
ML-DSA-65,25,0.003083589859306308,3.059277745748845e-05
ML-DSA-65,26,0.003219659533351165,3.202971396661172e-05
ML-DSA-65,27,0.002870367094873833,2.841266719963101e-05
ML-DSA-65,28,0.0027968395967031836,2.773341794771251e-05
ML-DSA-65,29,0.0028771449346090615,2.857053147809372e-05
ML-DSA-65,30,0.0031081200111652747,3.05917146920931e-05
ML-DSA-87,1,0.008509220276027327,8.497223177943497e-05
