scheme,round,accuracy_mean,accuracy_std
ECDSA-256,0,0.10148000000000001,0.008546753769706952
ECDSA-256,1,0.1679,0.031052375110448484
ECDSA-256,2,0.45564,0.0191776693057316
ECDSA-256,3,0.55546,0.021346264310178463
ECDSA-256,4,0.60446,0.0176073280198899
ECDSA-256,5,0.6394599999999999,0.014747813397246377
ECDSA-256,6,0.66204,0.01063545955753681
ECDSA-256,7,0.67842,0.012723875195866981
ECDSA-256,8,0.69338,0.011235078993936791
ECDSA-256,9,0.70498,0.009842357441182495
ECDSA-256,10,0.71216,0.0073981754507446325
ECDSA-256,11,0.71326,0.007934607740777082
ECDSA-256,12,0.71588,0.009542117165493176
ECDSA-256,13,0.7191,0.006220530523998708
ECDSA-256,14,0.72158,0.008025708691448964
ECDSA-256,15,0.72146,0.009120745583558368
ECDSA-256,16,0.7214,0.008005310737254339
ECDSA-256,17,0.72294,0.006959741374505241
ECDSA-256,18,0.7219599999999999,0.00835601579701713
ECDSA-256,19,0.72298,0.006833520322644858
ECDSA-256,20,0.7245,0.0033992646263566635
ECDSA-256,21,0.7241,0.006749444421580239
ECDSA-256,22,0.7217399999999999,0.0063049980174461635
ECDSA-256,23,0.72362,0.005063299319613614
ECDSA-256,24,0.72268,0.007858880327374876
ECDSA-256,25,0.72242,0.0072912276058287595
ECDSA-256,26,0.72208,0.0061234794030845235
ECDSA-256,27,0.7198800000000001,0.0048996938679880695
ECDSA-256,28,0.7237199999999999,0.006639804213981031
ECDSA-256,29,0.7235400000000001,0.005727390330682866
ECDSA-256,30,0.7219,0.004454772721475219
Falcon-padded-512,0,0.10148000000000001,0.008546753769706952
Falcon-padded-512,1,0.1679,0.031052375110448484
Falcon-padded-512,2,0.45587999999999995,0.01614657858495104
Falcon-padded-512,3,0.5556,0.021833346055975925
Falcon-padded-512,4,0.60548,0.014864958795772
Falcon-padded-512,5,0.6357200000000001,0.01687118845843409
Falcon-padded-512,6,0.6634599999999999,0.013926341946110596
Falcon-padded-512,7,0.67862,0.009443622186428252
Falcon-padded-512,8,0.6921999999999999,0.011324530895361614
Falcon-padded-512,9,0.70072,0.01411584216403679
Falcon-padded-512,10,0.7087600000000001,0.011354206269044062
Falcon-padded-512,11,0.71336,0.007268287281058693
Falcon-padded-512,12,0.7177,0.007138977517824245
Falcon-padded-512,13,0.7201,0.006264183905346297
Falcon-padded-512,14,0.71892,0.005424205010874831
Falcon-padded-512,15,0.72026,0.006244437524709515
Falcon-padded-512,16,0.721,0.007268768809090031
Falcon-padded-512,17,0.7167600000000001,0.0066976115145624725
Falcon-padded-512,18,0.72018,0.007953426934347215
Falcon-padded-512,19,0.71958,0.006389992175269064
Falcon-padded-512,20,0.72268,0.003913693907295242
Falcon-padded-512,21,0.7247,0.005903812327640517
Falcon-padded-512,22,0.7213200000000001,0.004137873850179579
Falcon-padded-512,23,0.7222999999999999,0.00552584835115835
Falcon-padded-512,24,0.72268,0.007578720208584041
Falcon-padded-512,25,0.7207,0.0059008473967727985
Falcon-padded-512,26,0.72278,0.006933036852635348
Falcon-padded-512,27,0.7217,0.0046545676490948006
Falcon-padded-512,28,0.7208600000000001,0.010069409118712035
Falcon-padded-512,29,0.7228399999999999,0.0068613409768061955
Falcon-padded-512,30,0.7197,0.004915282290977807
ML-DSA-44,0,0.10148000000000001,0.008546753769706952
ML-DSA-44,1,0.1679,0.031052375110448484
