scheme,field,value,count
ECDSA-256,sig_size,69.0,3
ECDSA-256,sig_size,70.0,400
ECDSA-256,sig_size,71.0,722
ECDSA-256,sig_size,72.0,375
ECDSA-256,pubkey_size,91.0,1500
Falcon-padded-512,sig_size,666.0,1500
Falcon-padded-512,pubkey_size,897.0,1500
ML-DSA-44,sig_size,2420.0,1500
ML-DSA-44,pubkey_size,1312.0,1500
ML-DSA-65,sig_size,3309.0,1500
ML-DSA-65,pubkey_size,1952.0,1500
ML-DSA-87,sig_size,4627.0,1500
ML-DSA-87,pubkey_size,2592.0,1500
RSA-2048,sig_size,256.0,1500
RSA-2048,pubkey_size,294.0,1500
SPHINCS+-SHA2-128s-simple,sig_size,7856.0,1500
SPHINCS+-SHA2-128s-simple,pubkey_size,32.0,1500
