scheme,run,position,train_time_mean,train_time_std,n
ECDSA-256,1,6,10.285363265829316,1.980814345292445,300.0
ECDSA-256,2,12,10.160985474974538,1.9036495291433213,300.0
ECDSA-256,3,21,10.289243701790305,1.9500177629841842,300.0
ECDSA-256,4,27,10.209056947998858,1.88792529701112,300.0
ECDSA-256,5,40,10.182834633061042,1.9149632907722114,300.0
Falcon-padded-512,1,4,10.394253617334956,1.9286545145257339,300.0
Falcon-padded-512,2,15,10.282753935719375,1.9487650327478816,300.0
Falcon-padded-512,3,22,10.327735156281076,2.006249614610004,300.0
Falcon-padded-512,4,30,10.336852495613662,1.9357539074637964,300.0
Falcon-padded-512,5,35,10.246372945817033,1.9559556886806342,300.0
ML-DSA-44,1,1,10.160967434958245,1.8880345546715391,300.0
ML-DSA-44,2,11,10.144333604165974,1.9025539672826228,300.0
ML-DSA-44,3,24,10.271334397514972,1.9413630259489543,300.0
ML-DSA-44,4,29,10.240766372218884,1.9361242214031562,300.0
ML-DSA-44,5,36,10.170523729487321,1.9318625375575846,300.0
ML-DSA-65,1,7,10.30953698656444,1.9096298361031938,300.0
ML-DSA-65,2,14,10.260530480068022,1.9491813542652006,300.0
ML-DSA-65,3,20,10.174377516148768,1.8865828515442802,300.0
ML-DSA-65,4,28,10.518126735161058,1.921046925561315,300.0
ML-DSA-65,5,34,10.216233925147293,1.88741275495079,300.0
ML-DSA-87,1,2,10.29792790489349,1.896710580045489,300.0
ML-DSA-87,2,9,10.317887933090484,1.902952325056542,300.0
ML-DSA-87,3,18,10.302470564953207,1.990768348838168,300.0
ML-DSA-87,4,26,10.143068736573525,1.901872441801851,300.0
ML-DSA-87,5,37,10.361640790000092,1.9929340886955085,300.0
RSA-2048,1,3,10.248737767823817,1.8382759957063506,300.0
RSA-2048,2,13,10.254363293479352,1.8354612578440785,300.0
RSA-2048,3,19,10.256076594606663,1.8741829802268473,300.0
RSA-2048,4,31,10.335213331746248,1.8313563063555784,300.0
RSA-2048,5,38,10.307608195121865,1.8267500041768685,300.0
SPHINCS+-SHA2-128s-simple,1,5,10.308949665035277,1.867913127991869,300.0
SPHINCS+-SHA2-128s-simple,2,10,10.298450956445498,1.839553185975739,300.0
SPHINCS+-SHA2-128s-simple,3,23,10.299760203005281,1.8430954822823709,300.0
SPHINCS+-SHA2-128s-simple,4,25,10.3494263439447,1.8459886939909635,300.0
SPHINCS+-SHA2-128s-simple,5,33,10.280479082457411,1.8584265611293476,300.0
no_signature,1,8,10.157755778562278,1.9063539082608445,300.0
no_signature,2,16,10.261855848984949,1.8396120140247458,300.0
no_signature,3,17,10.261228386204845,1.9534674197542623,300.0
no_signature,4,32,10.171518047800443,1.8527312787472112,300.0
no_signature,5,39,10.236206890863055,1.9211061121459325,300.0
