scheme,threshold_pct,model_size_bytes,model_size_kib,n_params_float32
ML-DSA-44,1.0,373200.0,364.453125,93300.0
ML-DSA-44,5.0,74640.0,72.890625,18660.0
ML-DSA-44,10.0,37320.0,36.4453125,9330.0
ML-DSA-65,1.0,526100.0,513.76953125,131525.0
ML-DSA-65,5.0,105220.0,102.75390625,26305.0
ML-DSA-65,10.0,52610.0,51.376953125,13152.5
ML-DSA-87,1.0,721900.0,704.98046875,180475.0
ML-DSA-87,5.0,144380.0,140.99609375,36095.0
ML-DSA-87,10.0,72190.0,70.498046875,18047.5
Falcon-padded-512,1.0,156300.0,152.63671875,39075.0
Falcon-padded-512,5.0,31260.0,30.52734375,7815.0
Falcon-padded-512,10.0,15630.0,15.263671875,3907.5
SPHINCS+-SHA2-128s-simple,1.0,788800.0,770.3125,197200.0
SPHINCS+-SHA2-128s-simple,5.0,157760.0,154.0625,39440.0
SPHINCS+-SHA2-128s-simple,10.0,78880.0,77.03125,19720.0
RSA-2048,1.0,55000.0,53.7109375,13750.0
RSA-2048,5.0,11000.0,10.7421875,2750.0
RSA-2048,10.0,5500.0,5.37109375,1375.0
ECDSA-256,1.0,16197.933333333332,15.818294270833333,4049.483333333333
ECDSA-256,5.0,3239.5866666666666,3.1636588541666666,809.8966666666666
ECDSA-256,10.0,1619.7933333333333,1.5818294270833333,404.9483333333333
