scheme,round,crypto_cost_round_mean,crypto_fraction_mean
ECDSA-256,1,0.02725015101022864,0.0002664431894024726
ECDSA-256,2,0.00559494909830248,5.4819150146030196e-05
ECDSA-256,3,0.00529726473614426,5.164992076876278e-05
ECDSA-256,4,0.0056552589870974375,5.515265827353681e-05
ECDSA-256,5,0.00552146891131842,5.39139599231684e-05
ECDSA-256,6,0.0054110554046914,5.2692535726726195e-05
ECDSA-256,7,0.00576770459301608,5.669877023936749e-05
ECDSA-256,8,0.0054422629997119,5.3069313592655705e-05
ECDSA-256,9,0.005529484385623081,5.4280056640030674e-05
ECDSA-256,10,0.00545342522673156,5.339821622459092e-05
ECDSA-256,11,0.0053550588898345795,5.198673427071918e-05
ECDSA-256,12,0.00555784367024744,5.4672353486573496e-05
ECDSA-256,13,0.00547655643895116,5.352835509232411e-05
ECDSA-256,14,0.005419077025725,5.349430525616203e-05
ECDSA-256,15,0.00715215238742368,7.043447426177365e-05
ECDSA-256,16,0.00539979939348848,5.275601641161633e-05
ECDSA-256,17,0.00553761641494768,5.4405610834212955e-05
ECDSA-256,18,0.00548918205313236,5.36675353000368e-05
ECDSA-256,19,0.00562920323572898,5.501564789310778e-05
ECDSA-256,20,0.00540917189791654,5.287805437226481e-05
ECDSA-256,21,0.00561389573849592,5.471981245207625e-05
ECDSA-256,22,0.00561092137358924,5.473798020639858e-05
ECDSA-256,23,0.00520180156454296,5.081370786789425e-05
ECDSA-256,24,0.005522327125071121,5.381426762316597e-05
ECDSA-256,25,0.00518151139840336,5.0865413218238376e-05
ECDSA-256,26,0.00560144418850392,5.4602427383352704e-05
ECDSA-256,27,0.00543695539235926,5.3332020557035014e-05
ECDSA-256,28,0.0056459552142754405,5.534510974983756e-05
ECDSA-256,29,0.00549168558791138,5.348283250907786e-05
ECDSA-256,30,0.0054633778054252,5.3392557594302815e-05
Falcon-padded-512,1,0.09584293044172117,0.0009250661928489147
Falcon-padded-512,2,0.09304037089459503,0.0009003350663997899
Falcon-padded-512,3,0.0972837824374427,0.0009394084221834807
Falcon-padded-512,4,0.09290262330323362,0.0008949891305097881
Falcon-padded-512,5,0.09252151683904128,0.0009060462944334026
Falcon-padded-512,6,0.09980467236600717,0.0009659664932613017
Falcon-padded-512,7,0.09538487191311915,0.0009254970410978901
Falcon-padded-512,8,0.09879690096713513,0.0009595931817625684
Falcon-padded-512,9,0.10636580782011049,0.0010345707270758956
Falcon-padded-512,10,0.1009930978529145,0.000979670003426365
Falcon-padded-512,11,0.09299975237809022,0.000899696316486341
Falcon-padded-512,12,0.09156635901890595,0.0008898051157145113
Falcon-padded-512,13,0.102539537427946,0.0009919630613534245
Falcon-padded-512,14,0.10251134983263821,0.0009928649987473678
Falcon-padded-512,15,0.09161188038997255,0.000890034657050106
Falcon-padded-512,16,0.09685918926261264,0.0009353575781408611
Falcon-padded-512,17,0.09176609213463864,0.0008874335766204859
Falcon-padded-512,18,0.10044695674441653,0.0009780755536854377
Falcon-padded-512,19,0.09151699226349493,0.0008853353840160012
Falcon-padded-512,20,0.09593434478156167,0.000930182514666472
Falcon-padded-512,21,0.1002591812517484,0.0009636422031408777
Falcon-padded-512,22,0.09575137239880753,0.0009297911424381271
Falcon-padded-512,23,0.09280513976700512,0.0009020085873535338
Falcon-padded-512,24,0.09605683111585578,0.000922510007644859
Falcon-padded-512,25,0.09506774856708845,0.0009205056008021083
Falcon-padded-512,26,0.09906547889113324,0.0009605084901014027
Falcon-padded-512,27,0.10056935297325154,0.0009685880027951339
Falcon-padded-512,28,0.09975374219939014,0.0009703672014176051
Falcon-padded-512,29,0.10500621111132105,0.0010154456713775332
Falcon-padded-512,30,0.09567144699394606,0.0009219514875733375
ML-DSA-44,1,0.009461542777716037,9.25375029924459e-05
ML-DSA-44,2,0.005148023925720701,5.0948450346124346e-05
ML-DSA-44,3,0.005379267595707292,5.2105804481795474e-05
ML-DSA-44,4,0.005311561375855448,5.217736936443039e-05
ML-DSA-44,5,0.005275404034181437,5.1613048511969414e-05
ML-DSA-44,6,0.005258247023447311,5.1400621837422574e-05
ML-DSA-44,7,0.004879559669642576,4.8289483122821064e-05
ML-DSA-44,8,0.0049595719203343125,4.806755312559379e-05
ML-DSA-44,9,0.005168592184780983,5.105776327347758e-05
ML-DSA-44,10,0.005272022588177513,5.174095601224628e-05
ML-DSA-44,11,0.005841209832577836,5.690130203565791e-05
ML-DSA-44,12,0.0050542203709473725,5.0055316854152346e-05
ML-DSA-44,13,0.0052716596983362835,5.135810171562971e-05
ML-DSA-44,14,0.005222817463799277,5.1535289405182924e-05
ML-DSA-44,15,0.00555752576328718,5.487857194318877e-05
ML-DSA-44,16,0.005071224505080847,4.9073553596411526e-05
ML-DSA-44,17,0.005241223564370403,5.195238098969655e-05
ML-DSA-44,18,0.0049376051407297415,4.821510381734298e-05
ML-DSA-44,19,0.004926723800598583,4.854340299304227e-05
ML-DSA-44,20,0.00493208384141224,4.881612071466252e-05
ML-DSA-44,21,0.00546841132454473,5.3032694597104826e-05
ML-DSA-44,22,0.004673017747699296,4.629681669993027e-05
ML-DSA-44,23,0.005263532418756563,5.109703314800909e-05
ML-DSA-44,24,0.005246587237342187,5.142008946562439e-05
ML-DSA-44,25,0.005234566004945843,5.174482545714171e-05
ML-DSA-44,26,0.005282120546325006,5.1247720861440167e-05
ML-DSA-44,27,0.005083724902941765,5.002675287321211e-05
ML-DSA-44,28,0.005327558377756619,5.215184712536934e-05
ML-DSA-44,29,0.0055595772340883785,5.4357275925898444e-05
ML-DSA-44,30,0.00498039191588665,4.916966676103481e-05
ML-DSA-65,1,0.011138627957551673,0.00010733752459973554
ML-DSA-65,2,0.006224698806180551,6.0747811708355166e-05
ML-DSA-65,3,0.006505669374017918,6.341481673226595e-05
ML-DSA-65,4,0.0066431868821372544,6.461879100315039e-05
ML-DSA-65,5,0.007012291997670084,6.886021414008075e-05
ML-DSA-65,6,0.006662593781947082,6.432779895511798e-05
ML-DSA-65,7,0.006499235564841735,6.364084802507667e-05
ML-DSA-65,8,0.006317255273460341,6.140740552792753e-05
ML-DSA-65,9,0.0066022146027524976,6.417122736555991e-05
ML-DSA-65,10,0.006395562784745412,6.238242656470116e-05
ML-DSA-65,11,0.006728035490958897,6.517798549708147e-05
ML-DSA-65,12,0.006871227268128466,6.673227044941033e-05
ML-DSA-65,13,0.005969777191056746,5.815158047698648e-05
ML-DSA-65,14,0.0068358602933574954,6.62192604823061e-05
ML-DSA-65,15,0.006469010328872896,6.318197569819906e-05
ML-DSA-65,16,0.006805664906277204,6.632073766650503e-05
ML-DSA-65,17,0.006815361278130582,6.630309199364517e-05
ML-DSA-65,18,0.006461759656666674,6.285522041732028e-05
ML-DSA-65,19,0.006927983369677171,6.72198836652973e-05
ML-DSA-65,20,0.0061160886194546425,5.9623031554620775e-05
ML-DSA-65,21,0.0066272549796838305,6.440681343873463e-05
ML-DSA-65,22,0.0063126425258805225,6.12458647570066e-05
ML-DSA-65,23,0.00673773707821865,6.579527552459071e-05
ML-DSA-65,24,0.0066263629123558074,6.419991788666388e-05
ML-DSA-65,25,0.00670784036628805,6.531304778384116e-05
ML-DSA-65,26,0.00666948119178314,6.427978307987248e-05
ML-DSA-65,27,0.006414688564836036,6.190628874218813e-05
ML-DSA-65,28,0.006743709510191225,6.537646868302863e-05
ML-DSA-65,29,0.006244094157590372,6.037649755948304e-05
ML-DSA-65,30,0.0064572317525733985,6.198579892180462e-05
ML-DSA-87,1,0.012529828865079784,0.00012130607328053658
ML-DSA-87,2,0.008413399709387464,8.182506821608184e-05
ML-DSA-87,3,0.007506037224082905,7.326105112850765e-05
ML-DSA-87,4,0.007918586116282954,7.758451570700865e-05
ML-DSA-87,5,0.007718008570371905,7.52402299468594e-05
ML-DSA-87,6,0.008081442769615565,7.903287052557952e-05
ML-DSA-87,7,0.007426889473571107,7.225404321150026e-05
ML-DSA-87,8,0.007376417331396458,7.264688673897071e-05
ML-DSA-87,9,0.008202280569820454,8.032945657708705e-05
ML-DSA-87,10,0.007481481088324186,7.3288013720334e-05
ML-DSA-87,11,0.007839322462676806,7.639257250150489e-05
ML-DSA-87,12,0.007297172117977269,7.060994768269843e-05
ML-DSA-87,13,0.008111438341437611,7.923572503128517e-05
ML-DSA-87,14,0.007742307055740412,7.557867041606319e-05
ML-DSA-87,15,0.0074934651609498745,7.308429624459038e-05
ML-DSA-87,16,0.007768429163842208,7.633626239365751e-05
ML-DSA-87,17,0.00853646849281962,8.211020798930944e-05
ML-DSA-87,18,0.007576313009484375,7.377069927677882e-05
ML-DSA-87,19,0.007723479857667044,7.45880470402936e-05
ML-DSA-87,20,0.008107556076719178,7.804258130703211e-05
ML-DSA-87,21,0.007933303294702201,7.70807519517905e-05
ML-DSA-87,22,0.00778037076815846,7.505855759367593e-05
ML-DSA-87,23,0.007737007783724599,7.543276784040553e-05
ML-DSA-87,24,0.008063377486540674,7.85877412637519e-05
ML-DSA-87,25,0.008130906196309885,7.839913730385903e-05
ML-DSA-87,26,0.007706452533601577,7.486906934637931e-05
ML-DSA-87,27,0.007741180993615472,7.45375702662945e-05
ML-DSA-87,28,0.007131058443336407,6.902790078033094e-05
ML-DSA-87,29,0.00805994011461628,7.866137826405742e-05
ML-DSA-87,30,0.00751589913852394,7.218626306317453e-05
RSA-2048,1,0.7895326031837603,0.007645175688660026
RSA-2048,2,0.6579917344730338,0.006366010776391924
RSA-2048,3,0.6745700794272114,0.0065365817716524525
RSA-2048,4,0.7110354555305083,0.006894824754555917
RSA-2048,5,0.6400830514263351,0.006226142787070081
RSA-2048,6,0.7160561937838781,0.0069244982248490876
RSA-2048,7,0.7420610611326983,0.007133279159416935
RSA-2048,8,0.5940258597489436,0.005758490148301656
RSA-2048,9,0.6479968694970002,0.00621387788292728
RSA-2048,10,0.689303149562328,0.006687029118865198
RSA-2048,11,0.5955494114663441,0.005770909373743055
RSA-2048,12,0.6752152183558782,0.006522938560062331
RSA-2048,13,0.6295753264334044,0.006111957731569938
RSA-2048,14,0.7007452188059677,0.006737906064107913
RSA-2048,15,0.6835198038257649,0.006583774465354722
RSA-2048,16,0.6415679017081846,0.0062128102988239274
RSA-2048,17,0.6818332885857662,0.006538366967995024
RSA-2048,18,0.6427842745557417,0.006202663524651876
RSA-2048,19,0.6301105661783357,0.006067981297915781
RSA-2048,20,0.6521604735869904,0.0063011314274011064
RSA-2048,21,0.7076614774763577,0.0068707632182871846
RSA-2048,22,0.47627923241816356,0.004613846447663346
RSA-2048,23,0.5891839592717577,0.005677041938252329
RSA-2048,24,0.6195323632564385,0.00598829274347641
RSA-2048,25,0.6228607794269909,0.006037250371348224
RSA-2048,26,0.6908077828586092,0.006705852448032126
RSA-2048,27,0.7206831940449764,0.006958594745037511
RSA-2048,28,0.7150087932590385,0.0069112087877915675
RSA-2048,29,0.6939503586385388,0.00665938584125743
RSA-2048,30,0.7274451842997213,0.007024936132375944
SPHINCS+-SHA2-128s-simple,1,2.18810116201639,0.020851387242276753
SPHINCS+-SHA2-128s-simple,2,2.212114631524308,0.020985121119749473
SPHINCS+-SHA2-128s-simple,3,2.1320094046648577,0.020318404966986496
SPHINCS+-SHA2-128s-simple,4,2.1750367527361947,0.02055867310287047
SPHINCS+-SHA2-128s-simple,5,2.251893020793794,0.021378592159122974
SPHINCS+-SHA2-128s-simple,6,2.0769576972350463,0.01975892410376434
SPHINCS+-SHA2-128s-simple,7,2.1896631889045226,0.020656740602792437
SPHINCS+-SHA2-128s-simple,8,2.2076031421311186,0.020943098307653552
SPHINCS+-SHA2-128s-simple,9,2.2414876895025357,0.021315293530416324
SPHINCS+-SHA2-128s-simple,10,2.2239142473787057,0.0210934854569338
SPHINCS+-SHA2-128s-simple,11,2.297698926972224,0.02195224349130257
SPHINCS+-SHA2-128s-simple,12,2.130703391367568,0.02024303348698871
SPHINCS+-SHA2-128s-simple,13,2.1937954487279043,0.020947631017904415
SPHINCS+-SHA2-128s-simple,14,2.2573189179413005,0.021668771230233756
SPHINCS+-SHA2-128s-simple,15,2.132154990825801,0.0202008784111354
SPHINCS+-SHA2-128s-simple,16,2.1270816765725598,0.020220311080406478
SPHINCS+-SHA2-128s-simple,17,2.21382667319849,0.02107623966267332
SPHINCS+-SHA2-128s-simple,18,2.276243564765899,0.021376807230306136
SPHINCS+-SHA2-128s-simple,19,2.262967794388531,0.02162713326335439
SPHINCS+-SHA2-128s-simple,20,2.1851226974744336,0.02061483830737478
SPHINCS+-SHA2-128s-simple,21,2.2264962967485173,0.02096604127562152
SPHINCS+-SHA2-128s-simple,22,2.160054322285576,0.02063766554022973
SPHINCS+-SHA2-128s-simple,23,2.2278479319065796,0.021161232158683582
SPHINCS+-SHA2-128s-simple,24,2.263476367061956,0.021535095879933314
SPHINCS+-SHA2-128s-simple,25,2.1795461103785767,0.02067253225179953
SPHINCS+-SHA2-128s-simple,26,2.184720802539958,0.020621982360905334
SPHINCS+-SHA2-128s-simple,27,2.105232582800089,0.02008634852237266
SPHINCS+-SHA2-128s-simple,28,2.1310754053760306,0.02013108990818411
SPHINCS+-SHA2-128s-simple,29,2.383634363999589,0.022683046253468085
SPHINCS+-SHA2-128s-simple,30,2.3089038248173877,0.022122453644219837
no_signature,1,0.0,0.0
no_signature,2,0.0,0.0
no_signature,3,0.0,0.0
no_signature,4,0.0,0.0
no_signature,5,0.0,0.0
no_signature,6,0.0,0.0
no_signature,7,0.0,0.0
no_signature,8,0.0,0.0
no_signature,9,0.0,0.0
no_signature,10,0.0,0.0
no_signature,11,0.0,0.0
no_signature,12,0.0,0.0
no_signature,13,0.0,0.0
no_signature,14,0.0,0.0
no_signature,15,0.0,0.0
no_signature,16,0.0,0.0
no_signature,17,0.0,0.0
no_signature,18,0.0,0.0
no_signature,19,0.0,0.0
no_signature,20,0.0,0.0
no_signature,21,0.0,0.0
no_signature,22,0.0,0.0
no_signature,23,0.0,0.0
no_signature,24,0.0,0.0
no_signature,25,0.0,0.0
no_signature,26,0.0,0.0
no_signature,27,0.0,0.0
no_signature,28,0.0,0.0
no_signature,29,0.0,0.0
no_signature,30,0.0,0.0
