scheme,round,accuracy_mean,accuracy_std
ECDSA-256,0,0.10148000000000001,0.008546753769706952
ECDSA-256,1,0.16396,0.02149658112351822
ECDSA-256,2,0.41814,0.010001399902013718
ECDSA-256,3,0.48002,0.015386585066219203
ECDSA-256,4,0.53496,0.010496809038941355
ECDSA-256,5,0.5765800000000001,0.009714525207131841
ECDSA-256,6,0.6096999999999999,0.010999772724924792
ECDSA-256,7,0.63534,0.011036892678648276
ECDSA-256,8,0.6516599999999999,0.010155688061377241
ECDSA-256,9,0.66932,0.009405955560175693
ECDSA-256,10,0.68232,0.006211038560498552
ECDSA-256,11,0.69066,0.0056029456538503105
ECDSA-256,12,0.69966,0.006663182422836674
ECDSA-256,13,0.70914,0.005483429583755061
ECDSA-256,14,0.71406,0.004816430213342598
ECDSA-256,15,0.71818,0.005539133506244397
ECDSA-256,16,0.72118,0.0056760021141644785
ECDSA-256,17,0.7224999999999999,0.005959026766175804
ECDSA-256,18,0.7249800000000001,0.0072067329630006215
ECDSA-256,19,0.72646,0.006427907902264924
ECDSA-256,20,0.72852,0.008108452380078447
ECDSA-256,21,0.72838,0.0055751233170218475
ECDSA-256,22,0.7299,0.004418144406874921
ECDSA-256,23,0.73,0.004948737212663446
ECDSA-256,24,0.72796,0.004145841289774586
ECDSA-256,25,0.73016,0.005357051427791206
ECDSA-256,26,0.72902,0.0026414011433328094
ECDSA-256,27,0.72916,0.0028858274376684064
ECDSA-256,28,0.73026,0.003939289275998908
ECDSA-256,29,0.7296,0.0030716445106815536
ECDSA-256,30,0.72878,0.003908580304918861
Falcon-padded-512,0,0.10148000000000001,0.008546753769706952
Falcon-padded-512,1,0.16396,0.02149658112351822
Falcon-padded-512,2,0.41655999999999993,0.018314284042790216
Falcon-padded-512,3,0.47590000000000005,0.014533065746772078
Falcon-padded-512,4,0.5324,0.010044401425669924
Falcon-padded-512,5,0.57934,0.011527488885268987
Falcon-padded-512,6,0.60642,0.011498999956517972
Falcon-padded-512,7,0.63044,0.008223624505046406
Falcon-padded-512,8,0.6524,0.008166700680201287
Falcon-padded-512,9,0.6669,0.006771632004177415
Falcon-padded-512,10,0.67872,0.004947928859634124
Falcon-padded-512,11,0.69082,0.0028119388329051645
Falcon-padded-512,12,0.70008,0.00766759414679731
Falcon-padded-512,13,0.70592,0.007367971226871064
Falcon-padded-512,14,0.7118,0.0064532937326609125
Falcon-padded-512,15,0.7164400000000001,0.0048402479275343035
Falcon-padded-512,16,0.72082,0.004365432395536538
Falcon-padded-512,17,0.7226600000000001,0.005309237233351
Falcon-padded-512,18,0.7264999999999999,0.0043410828142295904
Falcon-padded-512,19,0.72854,0.00430673890548286
Falcon-padded-512,20,0.72958,0.0028734996084913748
Falcon-padded-512,21,0.7327199999999999,0.004268137767223555
Falcon-padded-512,22,0.73274,0.0030104816890325044
Falcon-padded-512,23,0.7311799999999999,0.005082027154590958
Falcon-padded-512,24,0.73122,0.0045124272847327515
Falcon-padded-512,25,0.7317,0.0029077482697097805
Falcon-padded-512,26,0.73238,0.0036300137740785756
Falcon-padded-512,27,0.7309599999999999,0.005142275760789164
Falcon-padded-512,28,0.73216,0.005460128203623061
Falcon-padded-512,29,0.7326400000000001,0.004590533738030948
Falcon-padded-512,30,0.73004,0.005087533783671681
ML-DSA-44,0,0.10148000000000001,0.008546753769706952
ML-DSA-44,1,0.16396,0.02149658112351822
ML-DSA-44,2,0.40974000000000005,0.025487212479986896
ML-DSA-44,3,0.4885,0.004881085944746339
ML-DSA-44,4,0.53416,0.011042780446970787
ML-DSA-44,5,0.57724,0.011450676835890508
ML-DSA-44,6,0.6102000000000001,0.011088733020503299
ML-DSA-44,7,0.6311,0.010990450400233874
ML-DSA-44,8,0.65156,0.007793138007247144
ML-DSA-44,9,0.66722,0.008354459886790963
ML-DSA-44,10,0.68102,0.009431436794041527
ML-DSA-44,11,0.68886,0.009271084079006111
ML-DSA-44,12,0.6990000000000001,0.008097221745759452
ML-DSA-44,13,0.70412,0.0077670457704329164
ML-DSA-44,14,0.71124,0.006360660343077638
ML-DSA-44,15,0.71498,0.006306108150039917
ML-DSA-44,16,0.71906,0.005518423687974675
ML-DSA-44,17,0.72034,0.006366553227610709
ML-DSA-44,18,0.7238,0.005869838157905298
ML-DSA-44,19,0.72594,0.007251758407448512
ML-DSA-44,20,0.7287399999999999,0.005820051546163486
ML-DSA-44,21,0.7285,0.009419394885023129
ML-DSA-44,22,0.72668,0.010568443594020812
ML-DSA-44,23,0.73008,0.009051905876664872
ML-DSA-44,24,0.72968,0.006409134106882093
ML-DSA-44,25,0.72924,0.00786784595680417
ML-DSA-44,26,0.7281,0.009312088917101244
ML-DSA-44,27,0.7303599999999999,0.009646398291590492
ML-DSA-44,28,0.73196,0.01074793003326683
ML-DSA-44,29,0.73158,0.009072596100345318
ML-DSA-44,30,0.7316800000000001,0.009658778390666208
ML-DSA-65,0,0.10148000000000001,0.008546753769706952
ML-DSA-65,1,0.16396,0.02149658112351822
ML-DSA-65,2,0.41238,0.02220038287958117
ML-DSA-65,3,0.4817,0.015755157885594173
ML-DSA-65,4,0.53736,0.008115910300145024
ML-DSA-65,5,0.57626,0.010967132715527782
ML-DSA-65,6,0.60838,0.010192006671897368
ML-DSA-65,7,0.6330600000000001,0.008212977535583562
ML-DSA-65,8,0.6536,0.008463746215476938
ML-DSA-65,9,0.6699200000000001,0.008906570608264436
ML-DSA-65,10,0.6787,0.007682772936902407
ML-DSA-65,11,0.69004,0.008885268707247972
ML-DSA-65,12,0.70038,0.008271456945423805
ML-DSA-65,13,0.70692,0.00678505711103451
ML-DSA-65,14,0.71084,0.005393792728683576
ML-DSA-65,15,0.7157600000000001,0.006858425475282175
ML-DSA-65,16,0.7198,0.007152272366178403
ML-DSA-65,17,0.72158,0.006662356940302748
ML-DSA-65,18,0.72436,0.007418423013012928
ML-DSA-65,19,0.7266600000000001,0.008708788664332218
ML-DSA-65,20,0.7275,0.008516748205741363
ML-DSA-65,21,0.72942,0.005583189052862183
ML-DSA-65,22,0.72886,0.006078897926433688
ML-DSA-65,23,0.72878,0.008555524530968247
ML-DSA-65,24,0.72872,0.006930512246580349
ML-DSA-65,25,0.72932,0.0071103445767416685
ML-DSA-65,26,0.7280599999999999,0.007235191773546872
ML-DSA-65,27,0.73014,0.006869352225646898
ML-DSA-65,28,0.72838,0.007221980337829808
ML-DSA-65,29,0.72908,0.006451123933083262
ML-DSA-65,30,0.7314,0.00820883670199378
ML-DSA-87,0,0.10148000000000001,0.008546753769706952
ML-DSA-87,1,0.16396,0.02149658112351822
ML-DSA-87,2,0.41370000000000007,0.02585652722234757
ML-DSA-87,3,0.48525999999999997,0.014726608570882845
ML-DSA-87,4,0.53606,0.013106410645176623
ML-DSA-87,5,0.5780200000000001,0.01001908179425639
ML-DSA-87,6,0.6082,0.008603197080155707
ML-DSA-87,7,0.63218,0.011550844124997992
ML-DSA-87,8,0.6543,0.010402643894702912
ML-DSA-87,9,0.6696,0.00991236601422688
ML-DSA-87,10,0.68304,0.005895167512463006
ML-DSA-87,11,0.69246,0.008705630362012804
ML-DSA-87,12,0.7004400000000001,0.007068097339454254
ML-DSA-87,13,0.7069,0.006156297588648595
ML-DSA-87,14,0.7130799999999999,0.005595712644516319
ML-DSA-87,15,0.7186,0.005631607230622527
ML-DSA-87,16,0.7207399999999999,0.0066912629600098675
ML-DSA-87,17,0.7219800000000001,0.006120212414614466
ML-DSA-87,18,0.7259800000000001,0.007053864189222837
ML-DSA-87,19,0.72694,0.0058170439228185464
ML-DSA-87,20,0.7278800000000001,0.00815824736079998
ML-DSA-87,21,0.72834,0.007138837440368046
ML-DSA-87,22,0.72932,0.007254446912067136
ML-DSA-87,23,0.7306199999999999,0.006903767087612383
ML-DSA-87,24,0.7302,0.007653430603330737
ML-DSA-87,25,0.73148,0.007822531559540052
ML-DSA-87,26,0.73244,0.0069287805564904785
ML-DSA-87,27,0.7317199999999999,0.007801410128944635
ML-DSA-87,28,0.7327600000000001,0.008323941374132823
ML-DSA-87,29,0.73232,0.007954998428661047
ML-DSA-87,30,0.7329800000000001,0.008132465800727406
RSA-2048,0,0.10148000000000001,0.008546753769706952
RSA-2048,1,0.16396,0.02149658112351822
RSA-2048,2,0.41048,0.02375630442640437
RSA-2048,3,0.48461999999999994,0.013726507203218167
RSA-2048,4,0.53318,0.01738395812236097
RSA-2048,5,0.57696,0.01116660198986247
RSA-2048,6,0.60746,0.013138226668770792
RSA-2048,7,0.6333,0.01027326627709028
RSA-2048,8,0.6530199999999999,0.007592232873140831
RSA-2048,9,0.66756,0.008776844535480877
RSA-2048,10,0.67618,0.006033406997708684
RSA-2048,11,0.69082,0.008347275004454998
RSA-2048,12,0.69956,0.007704738801542851
RSA-2048,13,0.70612,0.0053978699502674286
RSA-2048,14,0.71074,0.006942117832477361
RSA-2048,15,0.7155,0.006112691714784944
RSA-2048,16,0.7182600000000001,0.007262093362109839
RSA-2048,17,0.72188,0.00577425319846645
RSA-2048,18,0.72358,0.0065614022891452425
RSA-2048,19,0.72542,0.008875359147662677
RSA-2048,20,0.7249800000000001,0.009314075370105162
RSA-2048,21,0.72626,0.009205052960195277
RSA-2048,22,0.7284200000000001,0.008545583654730668
RSA-2048,23,0.72554,0.008438779532610219
RSA-2048,24,0.7288399999999999,0.008797329140142487
RSA-2048,25,0.7253999999999999,0.008963816151617503
RSA-2048,26,0.72866,0.00870103442126275
RSA-2048,27,0.7271799999999999,0.008183336727765703
RSA-2048,28,0.72968,0.010637057863901999
RSA-2048,29,0.7275,0.007218032973047441
RSA-2048,30,0.7285,0.009046546302318872
SPHINCS+-SHA2-128s-simple,0,0.10148000000000001,0.008546753769706952
SPHINCS+-SHA2-128s-simple,1,0.16396,0.02149658112351822
SPHINCS+-SHA2-128s-simple,2,0.41262,0.02941984024429774
SPHINCS+-SHA2-128s-simple,3,0.47850000000000004,0.01089426454608111
SPHINCS+-SHA2-128s-simple,4,0.53508,0.012227918874444632
SPHINCS+-SHA2-128s-simple,5,0.5748,0.010346496991735867
SPHINCS+-SHA2-128s-simple,6,0.6073999999999999,0.011494128936113401
SPHINCS+-SHA2-128s-simple,7,0.629,0.008735273321425032
SPHINCS+-SHA2-128s-simple,8,0.65116,0.011934110775420186
SPHINCS+-SHA2-128s-simple,9,0.66644,0.008166272099311898
SPHINCS+-SHA2-128s-simple,10,0.6796,0.007047339923687516
SPHINCS+-SHA2-128s-simple,11,0.6896599999999999,0.008359007118073308
SPHINCS+-SHA2-128s-simple,12,0.69766,0.007263470244999994
SPHINCS+-SHA2-128s-simple,13,0.70432,0.007409250974288817
SPHINCS+-SHA2-128s-simple,14,0.7112,0.006971011404380277
SPHINCS+-SHA2-128s-simple,15,0.71482,0.0077821590834420366
SPHINCS+-SHA2-128s-simple,16,0.72,0.007054785609782896
SPHINCS+-SHA2-128s-simple,17,0.72204,0.008182481286260354
SPHINCS+-SHA2-128s-simple,18,0.72572,0.008159166624110524
SPHINCS+-SHA2-128s-simple,19,0.72576,0.007446677111302765
SPHINCS+-SHA2-128s-simple,20,0.7282,0.006195159400693451
SPHINCS+-SHA2-128s-simple,21,0.7275,0.007048758755979655
SPHINCS+-SHA2-128s-simple,22,0.7282,0.00544334456010271
SPHINCS+-SHA2-128s-simple,23,0.7267,0.00622012861603359
SPHINCS+-SHA2-128s-simple,24,0.72898,0.0061678197120214094
SPHINCS+-SHA2-128s-simple,25,0.72828,0.005800603416886851
SPHINCS+-SHA2-128s-simple,26,0.72948,0.00663377720457963
SPHINCS+-SHA2-128s-simple,27,0.72826,0.008673407634834256
SPHINCS+-SHA2-128s-simple,28,0.72926,0.005543735202911522
SPHINCS+-SHA2-128s-simple,29,0.7283000000000001,0.008176490689776404
SPHINCS+-SHA2-128s-simple,30,0.7300800000000001,0.007634919776919741
no_signature,0,0.10148000000000001,0.008546753769706952
no_signature,1,0.16396,0.02149658112351822
no_signature,2,0.41992,0.020744565553416645
no_signature,3,0.4849,0.014969134911543839
no_signature,4,0.53732,0.010320222865810599
no_signature,5,0.5778800000000001,0.00901315704955815
no_signature,6,0.6107199999999999,0.014152278968420626
no_signature,7,0.6317999999999999,0.011168034742066313
no_signature,8,0.65184,0.008558212430174917
no_signature,9,0.66938,0.0074112751939190424
no_signature,10,0.68096,0.006704326961000671
no_signature,11,0.69272,0.0065274037717916195
no_signature,12,0.69884,0.0072930103523853535
no_signature,13,0.7078,0.004947726750741241
no_signature,14,0.71356,0.006783288288138659
no_signature,15,0.71632,0.006291820086429674
no_signature,16,0.7186199999999999,0.003723842101915687
no_signature,17,0.7223200000000001,0.005072179018922737
no_signature,18,0.725,0.005502726596879057
no_signature,19,0.72692,0.0055328112203472165
no_signature,20,0.7271799999999999,0.006035478440024439
no_signature,21,0.7287,0.0063043635681962725
no_signature,22,0.7289,0.004960342730094347
no_signature,23,0.7293200000000001,0.007199097165617414
no_signature,24,0.7287600000000001,0.005627877042011506
no_signature,25,0.73028,0.0061210293252034085
no_signature,26,0.72994,0.004813314866077272
no_signature,27,0.7298600000000001,0.0051330302940856
no_signature,28,0.73148,0.004687429999477334
no_signature,29,0.7317400000000001,0.004523052066912334
no_signature,30,0.7303200000000001,0.006243957078648148
