run,round,reference_scheme,scheme,abs_diff
1,0,no_signature,ECDSA-256,0.0
1,1,no_signature,ECDSA-256,0.0
1,2,no_signature,ECDSA-256,0.016900000000000026
1,3,no_signature,ECDSA-256,0.006599999999999995
1,4,no_signature,ECDSA-256,0.0022000000000000908
1,5,no_signature,ECDSA-256,0.0040999999999999925
1,6,no_signature,ECDSA-256,0.0006000000000000449
1,7,no_signature,ECDSA-256,0.0037000000000000366
1,8,no_signature,ECDSA-256,0.0032999999999999696
1,9,no_signature,ECDSA-256,0.00019999999999997797
1,10,no_signature,ECDSA-256,0.008700000000000041
1,11,no_signature,ECDSA-256,0.0017000000000000348
1,12,no_signature,ECDSA-256,0.0030000000000000027
1,13,no_signature,ECDSA-256,0.0019000000000000128
1,14,no_signature,ECDSA-256,0.0020000000000000018
1,15,no_signature,ECDSA-256,0.0036999999999999256
1,16,no_signature,ECDSA-256,0.0039000000000000146
1,17,no_signature,ECDSA-256,0.0014999999999999458
1,18,no_signature,ECDSA-256,0.0027000000000000357
1,19,no_signature,ECDSA-256,0.007199999999999984
1,20,no_signature,ECDSA-256,0.009499999999999953
1,21,no_signature,ECDSA-256,0.005300000000000082
1,22,no_signature,ECDSA-256,0.0045999999999999375
1,23,no_signature,ECDSA-256,0.005699999999999927
1,24,no_signature,ECDSA-256,0.0029000000000000137
1,25,no_signature,ECDSA-256,0.0022999999999999687
1,26,no_signature,ECDSA-256,0.0020000000000000018
1,27,no_signature,ECDSA-256,0.0009000000000000119
1,28,no_signature,ECDSA-256,0.0024000000000000687
1,29,no_signature,ECDSA-256,0.0020000000000000018
1,30,no_signature,ECDSA-256,0.0013999999999999568
2,0,no_signature,ECDSA-256,0.0
2,1,no_signature,ECDSA-256,0.0
2,2,no_signature,ECDSA-256,0.013000000000000012
2,3,no_signature,ECDSA-256,0.015100000000000002
2,4,no_signature,ECDSA-256,0.010700000000000043
2,5,no_signature,ECDSA-256,0.0016999999999999238
2,6,no_signature,ECDSA-256,0.0043999999999999595
2,7,no_signature,ECDSA-256,0.012599999999999945
2,8,no_signature,ECDSA-256,0.0018000000000000238
2,9,no_signature,ECDSA-256,0.00040000000000006697
2,10,no_signature,ECDSA-256,0.0039000000000000146
2,11,no_signature,ECDSA-256,0.005299999999999971
2,12,no_signature,ECDSA-256,0.0007000000000000339
2,13,no_signature,ECDSA-256,0.001100000000000101
2,14,no_signature,ECDSA-256,0.0036999999999999256
2,15,no_signature,ECDSA-256,0.0026000000000000467
2,16,no_signature,ECDSA-256,0.0050000000000000044
2,17,no_signature,ECDSA-256,0.0041999999999999815
2,18,no_signature,ECDSA-256,0.0021999999999999797
2,19,no_signature,ECDSA-256,0.008400000000000074
2,20,no_signature,ECDSA-256,0.00880000000000003
2,21,no_signature,ECDSA-256,0.0048000000000000265
2,22,no_signature,ECDSA-256,0.006000000000000005
2,23,no_signature,ECDSA-256,0.0040999999999999925
2,24,no_signature,ECDSA-256,0.005099999999999993
