run,round,reference_scheme,scheme,max_abs_diff
1,1,no_signature,ECDSA-256,0.0
1,1,no_signature,Falcon-padded-512,0.0
1,1,no_signature,ML-DSA-44,0.0
1,1,no_signature,ML-DSA-65,0.0
1,1,no_signature,ML-DSA-87,0.0
1,1,no_signature,RSA-2048,0.0
1,1,no_signature,SPHINCS+-SHA2-128s-simple,0.0
2,1,no_signature,ECDSA-256,0.0
2,1,no_signature,Falcon-padded-512,0.0
2,1,no_signature,ML-DSA-44,0.0
2,1,no_signature,ML-DSA-65,0.0
2,1,no_signature,ML-DSA-87,0.0
2,1,no_signature,RSA-2048,0.0
2,1,no_signature,SPHINCS+-SHA2-128s-simple,0.0
2,2,no_signature,ECDSA-256,0.025640218402630754
2,2,no_signature,Falcon-padded-512,0.013713333553399654
2,2,no_signature,ML-DSA-44,0.0
2,2,no_signature,ML-DSA-65,0.02333632520974227
2,2,no_signature,ML-DSA-87,0.0
2,2,no_signature,RSA-2048,0.011529099446135227
2,2,no_signature,SPHINCS+-SHA2-128s-simple,0.025640218402630754
2,3,no_signature,ECDSA-256,0.01731257183483237
2,3,no_signature,Falcon-padded-512,0.027003859178707623
2,3,no_signature,ML-DSA-44,0.02092344082963349
2,3,no_signature,ML-DSA-65,0.0187745151428369
2,3,no_signature,ML-DSA-87,0.017713080960721772
2,3,no_signature,RSA-2048,0.027072015280921624
2,3,no_signature,SPHINCS+-SHA2-128s-simple,0.014254788240304794
2,4,no_signature,ECDSA-256,0.005718983400363031
2,4,no_signature,Falcon-padded-512,0.003839517744204324
2,4,no_signature,ML-DSA-44,0.011044641843618974
2,4,no_signature,ML-DSA-65,0.0202554108235784
2,4,no_signature,ML-DSA-87,0.009253147882394508
2,4,no_signature,RSA-2048,0.01588824591316751
2,4,no_signature,SPHINCS+-SHA2-128s-simple,0.008571026233819667
2,5,no_signature,ECDSA-256,0.019436922317114913
2,5,no_signature,Falcon-padded-512,0.022723694578907994
2,5,no_signature,ML-DSA-44,0.018708728372860195
2,5,no_signature,ML-DSA-65,0.017684745712402083
2,5,no_signature,ML-DSA-87,0.01282922033303846
2,5,no_signature,RSA-2048,0.02511356794796038
2,5,no_signature,SPHINCS+-SHA2-128s-simple,0.016722798918763493
2,6,no_signature,ECDSA-256,0.010276307789281791
2,6,no_signature,Falcon-padded-512,0.008992005841800266
