scheme,column,n_nan
ECDSA-256,run,0
ECDSA-256,round,0
ECDSA-256,node_id,0
ECDSA-256,scheme,0
ECDSA-256,keygen_time,0
ECDSA-256,sign_time,0
ECDSA-256,verify_time,0
ECDSA-256,train_time,0
ECDSA-256,train_loss,0
ECDSA-256,payload_size,0
ECDSA-256,sig_size,0
ECDSA-256,pubkey_size,0
ECDSA-256,sig_valid,0
ECDSA-256,has_nan,0
Falcon-padded-512,run,0
Falcon-padded-512,round,0
Falcon-padded-512,node_id,0
Falcon-padded-512,scheme,0
Falcon-padded-512,keygen_time,0
Falcon-padded-512,sign_time,0
Falcon-padded-512,verify_time,0
Falcon-padded-512,train_time,0
Falcon-padded-512,train_loss,0
Falcon-padded-512,payload_size,0
Falcon-padded-512,sig_size,0
Falcon-padded-512,pubkey_size,0
Falcon-padded-512,sig_valid,0
Falcon-padded-512,has_nan,0
ML-DSA-44,run,0
ML-DSA-44,round,0
ML-DSA-44,node_id,0
ML-DSA-44,scheme,0
ML-DSA-44,keygen_time,0
ML-DSA-44,sign_time,0
ML-DSA-44,verify_time,0
ML-DSA-44,train_time,0
ML-DSA-44,train_loss,0
ML-DSA-44,payload_size,0
ML-DSA-44,sig_size,0
ML-DSA-44,pubkey_size,0
ML-DSA-44,sig_valid,0
ML-DSA-44,has_nan,0
ML-DSA-65,run,0
ML-DSA-65,round,0
ML-DSA-65,node_id,0
ML-DSA-65,scheme,0
ML-DSA-65,keygen_time,0
ML-DSA-65,sign_time,0
ML-DSA-65,verify_time,0
ML-DSA-65,train_time,0
ML-DSA-65,train_loss,0
ML-DSA-65,payload_size,0
ML-DSA-65,sig_size,0
ML-DSA-65,pubkey_size,0
ML-DSA-65,sig_valid,0
ML-DSA-65,has_nan,0
ML-DSA-87,run,0
ML-DSA-87,round,0
ML-DSA-87,node_id,0
ML-DSA-87,scheme,0
ML-DSA-87,keygen_time,0
ML-DSA-87,sign_time,0
ML-DSA-87,verify_time,0
ML-DSA-87,train_time,0
ML-DSA-87,train_loss,0
ML-DSA-87,payload_size,0
ML-DSA-87,sig_size,0
ML-DSA-87,pubkey_size,0
ML-DSA-87,sig_valid,0
ML-DSA-87,has_nan,0
RSA-2048,run,0
RSA-2048,round,0
RSA-2048,node_id,0
RSA-2048,scheme,0
RSA-2048,keygen_time,0
RSA-2048,sign_time,0
RSA-2048,verify_time,0
RSA-2048,train_time,0
RSA-2048,train_loss,0
RSA-2048,payload_size,0
RSA-2048,sig_size,0
RSA-2048,pubkey_size,0
RSA-2048,sig_valid,0
RSA-2048,has_nan,0
SPHINCS+-SHA2-128s-simple,run,0
SPHINCS+-SHA2-128s-simple,round,0
SPHINCS+-SHA2-128s-simple,node_id,0
SPHINCS+-SHA2-128s-simple,scheme,0
SPHINCS+-SHA2-128s-simple,keygen_time,0
SPHINCS+-SHA2-128s-simple,sign_time,0
SPHINCS+-SHA2-128s-simple,verify_time,0
SPHINCS+-SHA2-128s-simple,train_time,0
SPHINCS+-SHA2-128s-simple,train_loss,0
SPHINCS+-SHA2-128s-simple,payload_size,0
SPHINCS+-SHA2-128s-simple,sig_size,0
SPHINCS+-SHA2-128s-simple,pubkey_size,0
SPHINCS+-SHA2-128s-simple,sig_valid,0
SPHINCS+-SHA2-128s-simple,has_nan,0
no_signature,run,0
no_signature,round,0
no_signature,node_id,0
no_signature,scheme,0
no_signature,keygen_time,0
no_signature,sign_time,0
no_signature,verify_time,0
no_signature,train_time,0
no_signature,train_loss,0
no_signature,payload_size,0
no_signature,sig_size,0
no_signature,pubkey_size,0
no_signature,sig_valid,0
no_signature,has_nan,0
