scheme,run,n_rounds_present,distinct_node_sets,consistent
ECDSA-256,1,30,1,True
ECDSA-256,2,30,1,True
ECDSA-256,3,30,1,True
ECDSA-256,4,30,1,True
ECDSA-256,5,30,1,True
Falcon-padded-512,1,30,1,True
Falcon-padded-512,2,30,1,True
Falcon-padded-512,3,30,1,True
Falcon-padded-512,4,30,1,True
Falcon-padded-512,5,30,1,True
ML-DSA-44,1,30,1,True
ML-DSA-44,2,30,1,True
ML-DSA-44,3,30,1,True
ML-DSA-44,4,30,1,True
ML-DSA-44,5,30,1,True
ML-DSA-65,1,30,1,True
ML-DSA-65,2,30,1,True
ML-DSA-65,3,30,1,True
ML-DSA-65,4,30,1,True
ML-DSA-65,5,30,1,True
ML-DSA-87,1,30,1,True
ML-DSA-87,2,30,1,True
ML-DSA-87,3,30,1,True
ML-DSA-87,4,30,1,True
ML-DSA-87,5,30,1,True
RSA-2048,1,30,1,True
RSA-2048,2,30,1,True
RSA-2048,3,30,1,True
RSA-2048,4,30,1,True
RSA-2048,5,30,1,True
SPHINCS+-SHA2-128s-simple,1,30,1,True
SPHINCS+-SHA2-128s-simple,2,30,1,True
SPHINCS+-SHA2-128s-simple,3,30,1,True
SPHINCS+-SHA2-128s-simple,4,30,1,True
SPHINCS+-SHA2-128s-simple,5,30,1,True
no_signature,1,1,1,True
no_signature,2,30,1,True
no_signature,3,30,1,True
no_signature,4,30,1,True
no_signature,5,30,1,True
