scheme,round,crypto_cost_round_mean,crypto_fraction_mean
ECDSA-256,1,0.02309955359814848,0.00022982857975756862
ECDSA-256,2,0.00275189300154966,2.7605037428354494e-05
ECDSA-256,3,0.00260720720398162,2.6302916557239343e-05
ECDSA-256,4,0.0028270853988935,2.841865434988332e-05
ECDSA-256,5,0.0026146160089402597,2.6148459250384887e-05
ECDSA-256,6,0.00269307100097574,2.704166753514217e-05
ECDSA-256,7,0.00272100880247234,2.756511823954175e-05
ECDSA-256,8,0.00278344040852898,2.8008463186277348e-05
ECDSA-256,9,0.00259492561162834,2.6278097497840084e-05
ECDSA-256,10,0.00267627900466242,2.690371811675165e-05
ECDSA-256,11,0.0026090253930299,2.6255090379615106e-05
ECDSA-256,12,0.00254793359636022,2.561052395191948e-05
ECDSA-256,13,0.00260559619637128,2.5907592817623855e-05
ECDSA-256,14,0.002467222399717841,2.495861762538622e-05
ECDSA-256,15,0.00283848180406426,2.8417495773220463e-05
ECDSA-256,16,0.0026828691989059196,2.711264636194446e-05
ECDSA-256,17,0.00261298740078856,2.6482236600153398e-05
ECDSA-256,18,0.0025118122022824998,2.5176643570225487e-05
ECDSA-256,19,0.0026052262066506597,2.6060733394423084e-05
ECDSA-256,20,0.00256899241066934,2.551432986195617e-05
ECDSA-256,21,0.00259891939931476,2.6165768049962267e-05
ECDSA-256,22,0.0026793428027297,2.6999636062170812e-05
ECDSA-256,23,0.0026342023920725996,2.6397456486964817e-05
ECDSA-256,24,0.0026264405983957998,2.6204868785677556e-05
ECDSA-256,25,0.00260394061042384,2.6128044155367704e-05
ECDSA-256,26,0.0026950977946391804,2.723683680601085e-05
ECDSA-256,27,0.00256207880302026,2.571137409708996e-05
ECDSA-256,28,0.00262876520428044,2.6374303521368827e-05
ECDSA-256,29,0.00265323600469788,2.6603611494986932e-05
ECDSA-256,30,0.00252355399425072,2.5165911052521148e-05
Falcon-padded-512,1,0.0479196968080937,0.00048125676385207713
Falcon-padded-512,2,0.04518866779835608,0.0004533798444934257
Falcon-padded-512,3,0.047189720596360965,0.00047412589277639274
Falcon-padded-512,4,0.043655342205601744,0.0004353626674535411
Falcon-padded-512,5,0.0431072681953078,0.00043204232834886133
Falcon-padded-512,6,0.04553428540239063,0.00045439206134901476
Falcon-padded-512,7,0.047767105603997495,0.0004834394644811921
Falcon-padded-512,8,0.04418662480893497,0.0004476951576620855
Falcon-padded-512,9,0.04497230880369846,0.0004537838916813118
Falcon-padded-512,10,0.04714016559882976,0.0004790241548248808
Falcon-padded-512,11,0.046092708405921654,0.0004621061094226777
Falcon-padded-512,12,0.0420197412022384,0.0004208703873669666
Falcon-padded-512,13,0.046178907198190726,0.00046298972108289204
Falcon-padded-512,14,0.04670058300252951,0.00046808326543484543
Falcon-padded-512,15,0.04420965540193674,0.0004417741497353965
Falcon-padded-512,16,0.049958313403476,0.0005016137211543742
Falcon-padded-512,17,0.04383348900300864,0.0004433270024606009
Falcon-padded-512,18,0.04541427759977477,0.00045624846627466783
Falcon-padded-512,19,0.04234942699840702,0.0004286632971425248
Falcon-padded-512,20,0.04993665979563906,0.0004991487069868494
Falcon-padded-512,21,0.046787070394202074,0.00047093539507631326
Falcon-padded-512,22,0.0418302944017336,0.0004194858145553803
