round,node_id,scheme,sign_time,verify_time,sig_size,pubkey_size,verified
1,5539426189063558759,ECDSA-256,0.0005048667080700397,0.000695378053933382,72.0,91.0,True
1,2397524763318264795,ECDSA-256,0.00047498801723122597,0.0001894719898700714,71.0,91.0,True
2,2397524763318264795,ECDSA-256,0.00011963583528995514,0.00022389600053429604,70.0,91.0,True
2,5539426189063558759,ECDSA-256,0.0001689838245511055,0.00014772219583392143,70.0,91.0,True
3,2397524763318264795,ECDSA-256,0.00017501180991530418,0.0001945379190146923,70.0,91.0,True
3,5539426189063558759,ECDSA-256,0.00012245681136846542,0.00013771001249551773,72.0,91.0,True
4,2397524763318264795,ECDSA-256,0.00016702013090252876,0.000191529281437397,70.0,91.0,True
4,5539426189063558759,ECDSA-256,0.00017416803166270256,0.0002088029868900776,70.0,91.0,True
5,5539426189063558759,ECDSA-256,0.00012712180614471436,0.00032202526926994324,70.0,91.0,True
5,2397524763318264795,ECDSA-256,0.00011786678805947304,0.00019904179498553276,71.0,91.0,True
6,5539426189063558759,ECDSA-256,0.00011966656893491745,0.00018848618492484093,71.0,91.0,True
6,2397524763318264795,ECDSA-256,0.00015780562534928322,0.00016879523172974586,70.0,91.0,True
7,5539426189063558759,ECDSA-256,0.00016042310744524002,0.0001883767545223236,71.0,91.0,True
7,2397524763318264795,ECDSA-256,0.00012168288230895996,0.00016702990978956223,70.0,91.0,True
8,2397524763318264795,ECDSA-256,0.00012214109301567078,0.00019532488659024239,72.0,91.0,True
8,5539426189063558759,ECDSA-256,0.00013337470591068268,0.00015612086281180382,71.0,91.0,True
9,2397524763318264795,ECDSA-256,0.00015418417751789093,0.00018760189414024353,71.0,91.0,True
9,5539426189063558759,ECDSA-256,0.0001311921514570713,0.00016360264271497726,71.0,91.0,True
10,2397524763318264795,ECDSA-256,0.00016573118045926094,0.0001887017861008644,71.0,91.0,True
10,5539426189063558759,ECDSA-256,0.00012865383177995682,0.00017565814778208733,72.0,91.0,True
