round,node_id,scheme,sign_time,verify_time,sig_size,pubkey_size,verified
1,15618071405022277291,ML-DSA-65,0.00020158709958195686,0.0004278356209397316,3309.0,1952.0,True
1,6469836842655954438,ML-DSA-65,0.00018245866522192955,0.00011755479499697685,3309.0,1952.0,True
2,15618071405022277291,ML-DSA-65,0.0001346329227089882,8.838390931487083e-05,3309.0,1952.0,True
2,6469836842655954438,ML-DSA-65,0.00017200317233800888,9.622424840927124e-05,3309.0,1952.0,True
3,15618071405022277291,ML-DSA-65,0.00038247788324952126,0.00011082878336310387,3309.0,1952.0,True
3,6469836842655954438,ML-DSA-65,0.00015248404815793037,7.397588342428207e-05,3309.0,1952.0,True
4,15618071405022277291,ML-DSA-65,0.00022827601060271263,8.608587086200714e-05,3309.0,1952.0,True
4,6469836842655954438,ML-DSA-65,0.0002306741662323475,7.018027827143669e-05,3309.0,1952.0,True
5,15618071405022277291,ML-DSA-65,0.0006566392257809639,8.095987141132355e-05,3309.0,1952.0,True
5,6469836842655954438,ML-DSA-65,0.0001644170843064785,7.80331902205944e-05,3309.0,1952.0,True
6,15618071405022277291,ML-DSA-65,0.00024653319269418716,0.0001620762050151825,3309.0,1952.0,True
6,6469836842655954438,ML-DSA-65,0.00014499109238386154,7.601408287882805e-05,3309.0,1952.0,True
7,15618071405022277291,ML-DSA-65,0.00018364610150456429,0.00010559288784861565,3309.0,1952.0,True
7,6469836842655954438,ML-DSA-65,0.00011916505172848701,9.128591045737267e-05,3309.0,1952.0,True
8,6469836842655954438,ML-DSA-65,0.00014927564188838005,0.00013954611495137215,3309.0,1952.0,True
8,15618071405022277291,ML-DSA-65,0.0002124430611729622,0.00012807361781597137,3309.0,1952.0,True
9,6469836842655954438,ML-DSA-65,0.0002049528993666172,9.775115177035332e-05,3309.0,1952.0,True
9,15618071405022277291,ML-DSA-65,0.0001179911196231842,7.420312613248825e-05,3309.0,1952.0,True
10,15618071405022277291,ML-DSA-65,0.00013525737449526787,0.00014587072655558586,3309.0,1952.0,True
10,6469836842655954438,ML-DSA-65,0.00020791683346033096,0.0001111677847802639,3309.0,1952.0,True
