round,node_id,scheme,sign_time,verify_time,sig_size,pubkey_size,verified
1,3012545992194305965,RSA-2048,0.003192983102053404,0.0030008540488779545,256.0,294.0,True
1,2010817090851295829,RSA-2048,0.0014509381726384163,0.0001154099591076374,256.0,294.0,True
2,3012545992194305965,RSA-2048,0.0012260531075298786,0.0001243199221789837,256.0,294.0,True
2,2010817090851295829,RSA-2048,0.00106454873457551,0.00016289995983242989,256.0,294.0,True
3,3012545992194305965,RSA-2048,0.0011687129735946655,0.0001005060039460659,256.0,294.0,True
3,2010817090851295829,RSA-2048,0.0011243121698498726,0.00013648299500346184,256.0,294.0,True
4,3012545992194305965,RSA-2048,0.0011959769763052464,0.00011957483366131783,256.0,294.0,True
4,2010817090851295829,RSA-2048,0.0010499688796699047,0.00012674182653427124,256.0,294.0,True
5,3012545992194305965,RSA-2048,0.0013156523928046227,0.00011043623089790344,256.0,294.0,True
5,2010817090851295829,RSA-2048,0.0011552348732948303,0.00012064492329955101,256.0,294.0,True
6,2010817090851295829,RSA-2048,0.0011589941568672657,0.00011007580906152725,256.0,294.0,True
6,3012545992194305965,RSA-2048,0.001007783692330122,0.0001245681196451187,256.0,294.0,True
7,3012545992194305965,RSA-2048,0.001226220279932022,0.00011275894939899445,256.0,294.0,True
7,2010817090851295829,RSA-2048,0.0010776682756841183,0.00011658202856779099,256.0,294.0,True
8,2010817090851295829,RSA-2048,0.0011741230264306068,0.00014760298654437065,256.0,294.0,True
8,3012545992194305965,RSA-2048,0.0012103859335184097,0.00013631582260131836,256.0,294.0,True
9,2010817090851295829,RSA-2048,0.0011747940443456173,0.0001215948723256588,256.0,294.0,True
9,3012545992194305965,RSA-2048,0.0011257799342274666,0.0001547359861433506,256.0,294.0,True
10,2010817090851295829,RSA-2048,0.0011547133326530457,0.0001183697022497654,256.0,294.0,True
10,3012545992194305965,RSA-2048,0.0010276013053953648,0.00014883186668157578,256.0,294.0,True
